City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,bamna,23.0833,74.7667,22.94,97,100,3.5,IN,1694724360
290,vrangel',42.7297,133.0839,14.99,69,0,2.02,RU,1694724360
291,port lincoln,-34.7333,135.8667,11.05,91,2,3.35,AU,1694724361
292,malango,-2.9627,119.9001,17.64,92,33,0.84,ID,1694724361
293,beaufort west,-32.3567,22.583,12.46,39,46,2.41,ZA,1694724361
294,suomussalmi,64.8869,28.9078,5.66,94,46,2.05,FI,1694724362
295,naracoorte,-36.9579,140.7383,9.65,97,100,3.37,AU,1694724362
296,greencastle,39.6445,-86.8647,25.92,43,100,2.57,US,1694724362
297,lerwick,60.1545,-1.1494,13.0,82,15,14.73,GB,1694724363
298,tazovsky,67.4667,78.7,10.05,94,100,5.21,RU,1694724363
299,ar ruways,24.1103,52.7306,31.43,81,0,3.34,AE,1694724242
300,sittwe,20.15,92.9,26.34,87,97,3.18,MM,1694724363
301,arraial do cabo,-22.9661,-42.0278,23.92,83,75,5.14,BR,1694724172
302,ulsteinvik,62.3432,5.8487,11.71,84,96,4.02,NO,1694724364
303,las khorey,11.1595,48.1967,31.46,69,11,0.87,SO,1694724364
304,zakynthos,37.7914,20.8953,23.13,72,55,2.24,GR,1694724364
305,estacion santa engracia,24.0159,-99.2015,37.06,21,0,6.0,MX,1694724364
306,rikaze,29.25,88.8833,12.64,55,33,1.72,CN,1694724365
307,araucaria,-25.5931,-49.4103,18.29,56,40,1.13,BR,1694724365
308,eisfeld,50.4167,10.9167,13.27,85,3,2.03,DE,1694724365
309,selfoss,63.9331,-20.9971,7.8,85,19,3.23,IS,1694724366
310,conception bay south,47.4999,-52.9981,17.25,96,96,4.02,CA,1694724366
311,port mathurin,-19.6833,63.4167,23.04,71,99,6.45,MU,1694724366
312,tiassale,5.8983,-4.8283,22.82,98,63,1.5,CI,1694724366
313,yemva,62.59,50.8594,11.39,86,65,2.72,RU,1694724367
314,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,66,0,3.0,RU,1694724367
315,auki,-8.7676,160.7034,25.4,85,79,2.91,SB,1694724367
316,dongola,19.1667,30.4833,32.74,20,4,6.37,SD,1694724367
317,fort mcmurray,56.7268,-111.381,18.77,52,0,5.14,CA,1694724106
318,papao,-17.75,-149.55,22.82,89,100,9.89,PF,1694724368
319,galliano,29.4422,-90.2992,34.0,43,40,4.12,US,1694724224
320,cruzeiro do sul,-29.5128,-51.9853,13.06,83,26,1.83,BR,1694724366
321,nizhnekamsk,55.6366,51.8245,16.44,51,0,2.0,RU,1694724368
322,kharod,21.75,82.5667,23.82,98,100,2.08,IN,1694724369
323,raduzhny,62.0961,77.475,14.47,68,9,2.33,RU,1694724369
324,cromer,52.9312,1.2989,17.26,100,100,1.34,GB,1694724369
325,iquique,-20.2208,-70.1431,19.02,71,30,2.23,CL,1694724369
326,pachino,36.7186,15.0907,24.19,70,78,4.51,IT,1694724370
327,san diego,32.7153,-117.1573,29.13,64,20,5.14,US,1694724010
328,ginir,7.1333,40.7,17.24,65,94,2.57,ET,1694724370
329,hamilton,39.1834,-84.5333,26.16,47,75,4.12,US,1694724134
330,pisco,-13.7,-76.2167,20.03,73,20,9.26,PE,1694724371
331,codrington,-38.2667,141.9667,10.18,95,80,4.15,AU,1694724371
332,xinmin,41.9908,122.8253,15.79,87,0,4.29,CN,1694724371
333,prince rupert,54.3161,-130.3201,15.05,65,100,9.77,CA,1694724128
334,faya-largeau,17.9257,19.1043,35.34,20,3,5.32,TD,1694724371
335,pruzhany,52.5567,24.4644,12.33,92,6,3.29,BY,1694724372
336,callao,-12.0667,-77.15,20.95,72,100,3.09,PE,1694724372
337,majuro,7.0897,171.3803,28.98,83,100,3.6,MH,1694724372
338,santa elena de uairen,4.6167,-61.1333,28.23,41,53,3.47,VE,1694724372
339,antalaha,-14.9003,50.2788,20.73,91,50,3.15,MG,1694724373
340,ha'il,27.5219,41.6907,32.01,17,0,2.06,SA,1694724373
341,balaipungut,1.05,101.2833,23.79,89,41,1.24,ID,1694724373
342,hami,42.8,93.45,18.78,29,6,4.96,CN,1694724373
343,tralee,52.2704,-9.7026,11.83,96,100,2.43,IE,1694724373
344,la'ie,21.6477,-157.9253,28.98,82,50,4.02,US,1694724374
345,burao,9.5221,45.5336,26.3,49,38,5.09,SO,1694724374
346,guerrero negro,27.9769,-114.0611,24.48,59,0,7.64,MX,1694724374
347,kasongo-lunda,-6.4667,16.8167,25.37,61,17,0.26,CD,1694724374
348,levuka,50.1834,-105.4011,19.9,30,20,11.83,CA,1694724375
349,midvagur,62.0511,-7.1939,9.46,81,100,13.38,FO,1694724375
350,kapuskasing,49.4169,-82.4331,19.0,42,20,7.72,CA,1694724302
351,queenstown,-31.8976,26.8753,12.02,30,79,2.19,ZA,1694724271
352,touros,-5.1989,-35.4608,25.48,78,5,6.66,BR,1694724375
353,helena valley southeast,46.6153,-111.9216,25.73,36,20,1.79,US,1694724376
354,alaghsas,17.0187,8.0168,36.2,24,82,2.32,NE,1694724376
355,puerto aysen,-45.4,-72.7,9.02,100,100,0.0,CL,1694724376
356,piti village,13.4626,144.6933,27.39,92,29,5.07,GU,1694724376
357,logten,56.2746,10.3118,13.41,84,75,1.54,DK,1694724377
358,sinabang,2.4803,96.3801,27.15,81,100,2.67,ID,1694724377
359,san julian,21.0167,-102.1667,27.29,23,3,1.98,MX,1694724377
360,owando,-0.4819,15.8999,23.05,96,91,0.94,CG,1694724378
361,kharan,28.5833,65.4167,28.11,12,1,2.61,PK,1694724249
362,owen sound,44.5672,-80.9435,19.98,56,0,3.13,CA,1694724378
363,vadso,70.0744,29.7487,4.49,87,20,2.57,NO,1694724378
364,bontang,0.1333,117.5,24.68,92,99,2.45,ID,1694724378
